Date,Open,High,Low,Close,Volume,Adjusted Close
1997-03-05,390.44,394.6,390.44,394.6,24110000.0,394.6
1997-03-04,386.36,392.75,386.36,390.44,20250000.0,390.44
1997-03-03,386.09,386.43,384.16,386.36,16830000.0,386.36
1997-02-28,388.97,389.49,385.98,386.09,22610000.0,386.09
1997-02-27,393.65,393.88,388.78,388.97,20140000.0,388.97
1997-02-26,398.57,399.7,389.83,393.65,20330000.0,393.65
1997-02-25,395.92,399.17,394.22,398.57,21490000.0,398.57
1997-02-24,397.66,397.66,394.9,395.92,17500000.0,395.92
1997-02-21,393.73,398.42,393.69,397.66,21460000.0,397.66
1997-02-20,397.09,398.0,392.75,393.73,22360000.0,393.73
1997-02-19,400.84,400.87,397.09,397.09,19170000.0,397.09
1997-02-18,402.39,402.99,396.94,400.84,20860000.0,400.84
1997-02-14,405.3,405.41,402.35,402.39,18280000.0,402.39
1997-02-13,404.35,407.3,403.48,405.3,19960000.0,405.3
1997-02-12,399.02,404.35,398.87,404.35,24420000.0,404.35
1997-02-11,395.09,399.06,394.48,399.02,26490000.0,399.02
1997-02-10,402.65,403.56,394.52,395.09,21850000.0,395.09
1997-02-07,405.67,406.96,398.83,402.65,26680000.0,402.65
1997-02-06,408.25,408.51,403.78,405.67,18610000.0,405.67
1997-02-05,409.49,414.29,407.19,408.25,20710000.0,408.25
1997-02-04,406.7,409.53,405.94,409.49,17010000.0,409.49
1997-02-03,405.64,407.15,403.94,406.7,16960000.0,406.7
1997-01-31,407.83,409.57,405.37,405.64,21010000.0,405.64
1997-01-30,405.49,407.98,403.37,407.83,20000000.0,407.83
1997-01-29,398.98,405.49,397.66,405.49,19080000.0,405.49
1997-01-28,402.23,405.03,398.04,398.98,22520000.0,398.98
1997-01-27,402.5,404.43,400.61,402.23,18620000.0,402.23
1997-01-24,408.21,408.32,401.67,402.5,21090000.0,402.5
1997-01-23,410.32,415.99,408.09,408.21,26700000.0,408.21
1997-01-22,412.06,412.74,408.36,410.32,27700000.0,410.32
1997-01-21,409.98,413.16,407.68,412.06,25600000.0,412.06
1997-01-20,411.12,411.35,408.85,409.98,20360000.0,409.98
1997-01-17,411.23,411.84,409.64,411.12,25010000.0,411.12
1997-01-16,410.25,412.4,409.0,411.23,24390000.0,411.23
1997-01-15,408.25,411.76,405.86,410.25,24440000.0,410.25
1997-01-14,407.45,409.19,407.19,408.25,28610000.0,408.25
1997-01-13,412.1,412.4,406.09,407.45,23830000.0,407.45
1997-01-10,407.53,412.44,402.84,412.1,34470000.0,412.1
1997-01-09,396.6,409.8,396.6,407.53,32510000.0,407.53
1997-01-08,399.47,400.61,395.69,396.6,24360000.0,396.6
1997-01-07,395.69,399.47,393.88,399.47,22190000.0,399.47
1997-01-06,393.09,396.56,393.09,395.69,20660000.0,395.69
1997-01-03,390.82,394.14,390.82,393.09,23330000.0,393.09
1997-01-02,390.17,391.23,386.85,390.82,18610000.0,390.82
1996-12-31,396.56,396.79,390.17,390.17,28950000.0,390.17
1996-12-30,395.58,399.36,395.58,396.56,25710000.0,396.56
1996-12-27,396.49,398.34,394.6,395.58,18190000.0,395.58
1996-12-26,393.54,396.68,393.46,396.49,16640000.0,396.49
1996-12-24,393.43,393.69,392.41,393.54,10890000.0,393.54
1996-12-23,392.22,393.69,391.04,393.43,25050000.0,393.43
1996-12-20,390.44,395.13,390.44,392.22,26730000.0,392.22
1996-12-19,383.41,390.93,383.41,390.44,28470000.0,390.44
1996-12-18,379.55,383.67,379.51,383.41,23540000.0,383.41
1996-12-17,376.6,380.5,374.86,379.55,20510000.0,379.55
1996-12-16,374.07,380.35,374.07,376.6,19820000.0,376.6
1996-12-13,374.45,374.79,371.69,374.07,20060000.0,374.07
1996-12-12,377.21,379.14,374.37,374.45,23520000.0,374.45
1996-12-11,383.33,383.33,376.75,377.21,22550000.0,377.21
1996-12-10,385.75,386.05,383.07,383.33,21660000.0,383.33
1996-12-09,385.71,386.96,384.35,385.75,20290000.0,385.75
1996-12-06,390.4,390.4,382.84,385.71,27740000.0,385.71
1996-12-05,385.41,390.4,385.3,390.4,25830000.0,390.4
1996-12-04,389.04,389.04,383.22,385.41,25940000.0,385.41
1996-12-03,391.04,392.82,388.78,389.04,24470000.0,389.04
1996-12-02,388.89,391.04,387.15,391.04,24240000.0,391.04
1996-11-29,386.47,388.89,386.47,388.89,10930000.0,388.89
1996-11-27,391.31,391.38,385.9,386.47,21480000.0,386.47
1996-11-26,393.01,393.5,389.8,391.31,26990000.0,391.31
1996-11-25,388.21,393.05,387.87,393.01,26790000.0,393.01
1996-11-22,382.92,388.32,382.92,388.21,25700000.0,388.21
1996-11-21,383.18,383.48,381.33,382.92,22270000.0,382.92
1996-11-20,383.86,384.35,381.9,383.18,23880000.0,383.18
1996-11-19,379.97,383.86,379.97,383.86,21890000.0,383.86
1996-11-18,377.06,381.22,377.02,379.97,19370000.0,379.97
1996-11-15,375.96,378.8,375.43,377.06,24220000.0,377.06
1996-11-14,373.13,376.04,372.44,375.96,22720000.0,375.96
1996-11-13,372.75,373.69,370.48,373.13,22800000.0,373.13
1996-11-12,373.99,374.49,371.95,372.75,23600000.0,372.75
1996-11-11,372.26,374.22,372.26,373.99,20280000.0,373.99
1996-11-08,368.93,372.26,367.87,372.26,21960000.0,372.26
1996-11-07,367.34,369.72,365.68,368.93,23720000.0,368.93
1996-11-06,363.41,367.34,362.39,367.34,20750000.0,367.34
1996-11-05,365.87,367.34,362.88,363.41,18110000.0,363.41
1996-11-04,366.85,367.23,365.07,365.87,17390000.0,365.87
1996-11-01,371.88,372.1,366.47,366.85,18850000.0,366.85
1996-10-31,375.66,375.73,371.8,371.88,19360000.0,371.88
